SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
3197,,,"Sheet of MS GRILL got rusty .Repaired 3 to 4 times , needs to be replaced, also it's hinch broken 
It is very unsafe.",,,,Civil,MS Grill - Replacement,high,,,,,,
3198,,,Change the latrine pot due to old.,,,,Civil,Repairs to wall seepage other than bathroom & latrine,low,,,,,,
3199,,,"Male and female ward to hang, four nails to put 
Urgently. It's very urgent ",,,,Civil,Miscellaneous Work,high,,,,,,
3200,,,"Bathroom bottom point wall leakage.
Kindly do the action from your end as soon as possible.
",,,,Civil,Bathroom brick wall repair,high,,,,,,
3201,,,Staircase cealing plaster damage,,,,Civil,Repairs to staircase,high,,,,,,
3202,,,Kitchen. Ka. Roof. Cutting,,,,Civil,Repairs to roof projection,low,,,,,,
3203,,,Bathroom wall plaster damage,,,,Civil,Bathroom wall plaster,high,,,,,,
3204,,,Wall Plaster is damage in latrine ,,,,Civil,Repairs to wall seepage of bathroom & latrine,high,,,,,,
3205,,,Dining room wall seepage ,,,,Civil,Dining Room wall plaster,high,,,,,,
3206,,,Kitchen sink damage ,,,,Civil,Repairs to kitchen sink,high,,,,,,
3207,,,Toilet door damaged,,,,Woodwork,Bathroom door easing,high,,,,,,
3208,,,Tube light in male toilet not working ,,,,Electrical,Tube light-Not glowing,high,,,,,,
3209,,,Back drain repair,,,,Civil,Back Drain Damage,high,,,,,,
3210,,,Lowering of steps as its difficult to go up and down continuously ,,,,Civil,Repairs to steps,high,,,,,,
3211,,,Window shutter repair ,,,,Civil,Bedroom-1 window shutter repair,high,,,,,,
3212,,,Catchpit Jam,,,,Housekeeping,Catchpit Jam,high,,,,,,
3213,,,Ac not working ,,,,Electrical,AC power point-AC Switch burnt,high,,,,,,
3214,,,Toilet door clamp rusted and broken the door,,,,Woodwork,Toilet-1 door shutter repair,low,,,,,,
3215,,,Catchpit to manhole pipe damage ,,,,Civil,Catchpit to manhole hume pipe damage,low,,,,,,
3216,,,9204705073,,,,Electrical,Gyser-Water leakage,high,,,,,,
3217,,,Window brick wall broken,,,,Civil,Bathroom brick wall repair,high,,,,,,
3218,,,Bath room and toilet ceiling leakage ,,,,Civil,Bathroom ceiling plaster,high,,,,,,
3219,,,For marriage function white wash and painting only. ,,,,Civil,New Allotment,high,,,,,,
3220,,,The floor near the catchpit and manhole is totally damaged and sinked in. Not safe at all .,,,,Civil,Catchpit to manhole hume pipe damage,high,,,,,,
3221,,,Back drain net damage,,,,Civil,Back Drain Damage,high,,,,,,
3222,,,Ceiling fan is running very slow ,,,,Electrical,Celing fan-Not working,high,,,,,,
3223,,,Fallen leaves to be removed ,,,,Housekeeping,"Bin full, requires lifting",low,,,,,,
3224,,,Floor is broken ,,,,Civil,Toilet-1 floor repair,high,,,,,,
3225,,,Drain jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
3226,,,The common path joining cross road 11 and road no 8 has bushes and grasses which increases mosquitos and other insects growth.,,,,Housekeeping,Bush Cutting Required,high,,,,,,
3227,,,Front drain jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
3228,,,I want to new painting our bedroom for chhat puja .,,,,Civil,Bedroom-1 Touch up painting,high,,,,,,
3229,,,"Bathroom door hinge broken, kindly repair",,,,Woodwork,Bathroom door hinge repair,low,,,,,,
3230,,,Toilet flush is dead and not working,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),low,,,,,,
3231,,,Slidding window broken glass kichen area,,,,Woodwork,Replacement of broken glass,low,,,,,,
3232,,,Unable to close gate ,,,,Civil,Repairs to gate pillar,high,,,,,,
3233,,,No water in entire Block N - 121/1to8,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3234,,,Water finished in supply tank.Repeated complain.please send tanker to refill.,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3235,,,Toilet Door lock broken & ventilator is also broken need to replace,,,,Woodwork,Toilet-1 door shutter repair,high,,,,,,
3236,,,Ventilator broken need to replace,,,,Woodwork,Toilet-1 ventilator frame repair,high,,,,,,
3237,,,Need water tanker in C block inside vidya bharati chinmaya vidyalaya ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3238,,,Windows glass frame broken,,,,Woodwork,Bedroom-2 window glass pane fixing,high,,,,,,
3239,,,Courtyard drain slope not proper resulting water logged inside,,,,Civil,Back Drain Damage,high,,,,,,
3240,,,Leakage,,,,Woodwork,Bedroom-2 ceiling plaster,high,,,,,,
3241,,,Full repair of damaged courtyard floor,,,,Civil,Repairs to courtyard floor - Full,low,,,,,,
3242,,,Courtyard floor was damaged ,,,,Civil,Repairs to courtyard floor - Full,low,,,,,,
3243,,,No water in the building ,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
3244,,,Damaged ,,,,Civil,Bathroom floor repair,low,,,,,,
3245,,,Bathroom door hinge damage ,,,,Woodwork,Bathroom door hinge repair,high,,,,,,
3246,,,Water not coming in tap.tank is empty.,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3247,,,Unable to lock and is juncked,,,,Civil,Latches of  doors - Repair,low,,,,,,
3248,,,Kitchen water tap pipe linkage and basin is crack,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3249,,,This building n 102 back said catchpit jam regular many time i have complain,,,,Housekeeping,Catchpit Jam,high,,,,,,
3250,,,"There is a nuisance of insects, mosquitoes and snakes",,,,Housekeeping,Bush Cutting Required,high,,,,,,
3251,,,Garden area water drain jammed ,,,,Housekeeping,Front Drain Jam,high,,,,,,
3252,,,Wash Basin Drain Pipe is Broken Please Change pipe Immediately ,,,,Water and Plumbing Work,Brackets for Wash basin (Replacement),high,,,,,,
3253,,,Civil work done in the whole ceiling and walls. So painting required ,,,,Civil,Bedroom-2 Touch up painting,high,,,,,,
3254,,,Ceiling and walls were repaired so painting required ,,,,Civil,Drawing Room Touch up painting,high,,,,,,
3255,,,Engineer all 21 ka Char bathroom geyser character pipe image,,,,Water and Plumbing Work,P.V.C.Connector to be replaced,high,,,,,,
3256,,,The whole floor of bedroom 2 is damaged,,,,Civil,Bedroom-2 floor repair,high,,,,,,
3257,,,"Floor of drawing room damaged.
3 times repaired earlier",,,,Civil,Drawing Room floor repair,high,,,,,,
3258,,,The painting of the wall are coming out in layers due to seepage since 2 yrs. The seepage has been taken care of. Painting left,,,,Civil,Bedroom-1 Touch up painting,low,,,,,,
3259,,,Whole painting coming out in layers . Last it was painted in 2017,,,,Civil,Dining Room Touch up painting,low,,,,,,
3260,,,"Kitchen switch broken, kindly fixed it ",,,,Electrical,Switch board-Broken,high,,,,,,
3261,,,Tank of the commode is not working properly. It is damaged and leaking badly,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
3262,,,Water tap broken and Water wastage ,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
3263,,,No Power,,,,Electrical,No power-Single house,low,,,,,,
3264,,,Water tank of commode is damaged ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3265,,, Out side of  kitchen  drain is jam,,,,Housekeeping,Back Drain Jam,low,,,,,,
3266,,,"Mosquito fogging Dalma house, dalma raod, Neldhi ",,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
3267,,,No looking mirror in entrance door,,,,Woodwork,Magic eye  - Replacement,high,,,,,,
3268,,,Main door of K12/2 is in very bad condition. Given support by one ply.,,,,Civil,Miscellaneous Work,low,,,,,,
3269,,,Door palla damage,,,,Woodwork,Kitchen door frame repair,low,,,,,,
3270,,,Mosquito net to be replaced ,,,,Woodwork,Drawing Room mosquito net fixing,high,,,,,,
3271,,,Floor repair ,,,,Civil,Store Room floor repair,high,,,,,,
3272,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
3273,,,New Allotment,,,,Electrical,New Allotment,high,,,,,,
3274,,,O1 led blub fuige,,,,Electrical,Light-not working,low,,,,,,
3275,,,NEW aLLOTMENT,,,,Water and Plumbing Work,New Allotment,high,,,,,,
3276,,,Myhousenearpipeleakagecomeinwaternearhouse,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
3277,,,Water scarcity ,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
3278,,,Water is not coming out of the tap since 2:00 pls supply tanker as soon as possible,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3279,,,"Water is not there in whole building in N-130/7
Please provide 
Daily this is becoming the issue in our building how we will do our work
Please urgently provide it",,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3280,,,"Damage structure in TDBM shop, need to repair for safety concern.",,,,Civil,Miscellaneous Work,high,,,,,,
3281,,,This water shortage is in daily routine,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3282,,,Road to gate approach road dameg,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
3283,,,Damage has caused uneven surface causing water to accumulate on approach path,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
3284,,,Water tank over. Additionally required ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3285,,,"Damage floor inside TDBM shop, need to repair for safe material handling inside shop.",,,,Civil,Miscellaneous Work,high,,,,,,
3286,,,No water ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3287,,,Pani ham log ka 3:00 PM ke pahle hi khatm ho gaya hai Pani Bina bahut dikkat ho raha hai kripya Karke Pani ke liye tankar bheja Jaaye,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3288,,,Bathroom all 4 wall repair n ceiling also repair,,,,Civil,Bathroom brick wall repair,low,,,,,,
3289,,,All room roof leakage ,,,,Civil,Repairs to roof leakage,high,,,,,,
3290,,,Catchpit jam,,,,Housekeeping,Catchpit Jam,low,,,,,,
3291,,,X ray board socket loose in the examination room ,,,,Electrical,Socket-Loose connection,high,,,,,,
3292,,,Due to huge jam of front drain water comes in my Quater while raining .,,,,Housekeeping,Front Drain Jam,high,,,,,,
3293,,, Seepage on bathroom wall I have send so many complaints no result found ,,,,Civil,Bathroom wall plaster,low,,,,,,
3294,,,Tube light in xray not working ,,,,Electrical,Tube light-Not glowing,high,,,,,,
3295,,,"Water leakage from bathroom water Tap
",,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
3296,,,"Drain jam

",,,,Housekeeping,Back Drain Jam,high,,,,,,
3297,,,No water in block.,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
3298,,,All. Water.. Tape. Servicing,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
3299,,,No water ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3300,,,Light is not working on 2 nd & 3rd floor,,,,Electrical,Light-not working,high,,,,,,
3301,,,"Anex1 ,main building, anex2,and kicheen area,",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3302,,,No water in overhead tank above the P5/11,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3303,,,There is no water in the building please provide a tanker as soon as possible to building number N 142 .,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3304,,,Drinking water not available,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
3305,,,Kitchen drain blockage,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
3306,,,Water is not coming due to the water tank being empty. ,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3307,,,No water at whole building ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3308,,,No power in socket of guest bedroom ,,,,Electrical,Socket-Not working,low,,,,,,
3309,,,Please supply tanker.drinking water not available.,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
3310,,,Water tank empty ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3311,,,Water is not coming in household.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3312,,,Kitchen gas slab cracked upper and lower portions causing accumulations of worms in cracks,,,,Civil,Repairs to gas platform,high,,,,,,
3313,,,No water ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3314,,,"Gym. Area. Ka. Lamp. Light
One. Not. Working",,,,Electrical,Street light-Not working,low,,,,,,
3315,,,"60/4, bathroom,jam,",,,,Housekeeping,Bathroom Jam,high,,,,,,
3316,,,No water in P5/5,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3317,,,Water not available in over head tank. Kindly supply water in tanker immediately. ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3318,,,Garden. Area. Ka. Two. Lamp. Not. Working,,,,Electrical,Garden light-Not working,low,,,,,,
3319,,,Please provide a tanker for water immediately. ,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3320,,,Required proper cleaning to control mosquito & other flies for atmosphere cleaning for environment. ,,,,Housekeeping,Improper Cleaning,high,,,,,,
3321,,,Kitchen Slab damaged,,,,Civil,Misc. requests,high,,,,,,
3322,,,Kitchen floor damaged from side edge causing insects insertion.,,,,Civil,Kitchen floor repair,high,,,,,,
3323,,,"Please take necessary action, only rat poision required for killing them... ",,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
3324,,,Tank cleaning has been done but No water is filled (there is no water),,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3325,,,No water available for usage,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3326,,,there is shortage of water in the building.  So additional water to be filled in the overhead tank of N -135 as soon as possible.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3327,,,Water pipe damage ,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
3328,,,"Tank clean done
No water ",,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3329,,,as tank cleaning done so no water,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3330,,,Water issue ,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3331,,,No water supply in flat. Yesterday also there was same problem.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3332,,,Kitchen light not working.  Changed lights till not working ,,,,Electrical,Light-not working,high,,,,,,
3333,,,Empty tanks,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3334,,,Door of line3 kit store is not locking,,,,Steel Works,Repairs to gate.,low,,,,,,
3335,,,No water ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3336,,,Bathroom flush leakage,,,,Water and Plumbing Work,Improper function of Wash Basin Piller Cock,low,,,,,,
3337,,,"Kitchen tap is leaking, needs to be changed ",,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
3338,,,Bathroom tap is not working ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
3339,,,Drain stopper is missing ,,,,Water and Plumbing Work,Improper function of Stop cock,low,,,,,,
3340,,,Toilet and outside sink ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
3341,,,Glass shelf not available at wash basin,,,,Water and Plumbing Work,Glass shelf repair / replacement,high,,,,,,
3342,,,Kitchen ceiling dameg ,,,,Civil,Kitchen ceiling plaster,high,,,,,,
3343,,,Dining room ceiling plaster damage ,,,,Civil,Dining Room ceiling plaster,low,,,,,,
3344,,,Complaint earlier put to plumbing but they suggested that it was civil work,,,,Civil,Repairs to chocked outlet pipe at Kitchen,low,,,,,,
3345,,,Kitchen window not getting closed,,,,Woodwork,Kitchen window shutter repair,low,,,,,,
3346,,,"Hall,2,mess,gyer_not,working,",,,,Electrical,Gyser-Not woking,high,,,,,,
3347,,,"Drain clogged, complained earlier  too not addressed, complaint shows closed",,,,Housekeeping,Back Drain Jam,high,,,,,,
3348,,,No water supply in the block,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
3349,,,Main entrance door totally damaged nobody leaves their. Not alloted to anybody.,,,,Woodwork,Repairs to Main Entrance door,low,,,,,,
3350,,,Termite spread in entire house,,,,Housekeeping,Antitermite Treatment,high,,,,,,
3351,,,Door not open properly ,,,,Woodwork,Bedroom-2 door easing,low,,,,,,
3352,,,The common area switch board's shocket is broken. Kindly change it.,,,,Electrical,Socket-Socket broken,high,,,,,,
3353,,,Watar ont coming,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3354,,,Pani teen 30 pm Mein khatm hone ke bad 7:08 Baje Ke Piche Pani Tanki Mein Aaya lekin Abhi Tak 10:00 pm abhi tak latrin Mein Na bathroom mein Na kitchen mein Suta Ki Tarah Pani Gir raha hai itna jyada pareshani ho raha hai kitna letrin aadami kar pa Raha Na bathroom mein ja raha hai bataiye Kaise aadami Kitna dikkat mein hai 3:30 Baje Sham Hai Pani khatm Hua 8:00 Baje Tanki Mein Aaya lekin Abhi Tak Na kitchen Mein Hai Na latrin Mein Hai Na bathroom mein ek Suta Ki Dhaar Ki Tarah Keval Gir raha hai,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
3355,,,Fan noise ,,,,Electrical,Celing fan-Noise,high,,,,,,
3356,,,Fan not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
3357,,,Light tripping when using Washing machine and Gyesar,,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
3358,,,Termite mound outside balcony. Termite enter house by making holes in wall.,,,,Housekeeping,Antitermite Treatment,high,,,,,,
3359,,,Bathroom outlet jam water jam in bathroom.,,,,Housekeeping,Bathroom Jam,high,,,,,,
3360,,,Request for cockroach and mosquito control spray.,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
3361,,,Bathroom big switch not working ,,,,Electrical,Switch-Switch broken,high,,,,,,
3362,,,Additional water,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3363,,,"Toilet celling get dammed need to plaster , previous time complaint was cancelled without any information ...please don't repeat this cancellation ",,,,Civil,Toilet-1 ceiling plaster,high,,,,,,
3364,,,"Sepage issue resolved in few month back so there is strain mark in walls, need to do white wash in ceiling area of 2 rooms",,,,Civil,Bathroom Touch up painting,high,,,,,,
3365,,,"Toilet water reservoir Leakage, need to correct leakage issue or replace the reservoir.",,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3366,,,The dog is dead.,,,,Housekeeping,Dead Animal Removal,high,,,,,,
3367,,,Kitchen water tap has broken and water is leakaging on regular basis please visit a as soon as possible,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3368,,,No water in toilet area.. ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3369,,,Front drain jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
3370,,,"Toilet door repairing 
",,,,Civil,Toilet-2 door hinge repair,low,,,,,,
3371,,,"Side, back ,Front drain cleaning required.",,,,Housekeeping,Front Drain Jam,low,,,,,,
3372,,,Room no 13 gyser not working,,,,Electrical,Gyser-Not woking,low,,,,,,
3373,,,9204705073,,,,Water and Plumbing Work,P.V.C.Connector to be replaced,low,,,,,,
3374,,,JJSN school building 3rd floor room 19,,,,Electrical,Socket-Not working,low,,,,,,
3375,,,"Kitchen  outlet pipe leakage 
",,,,Civil,Repairs to chocked outlet pipe at Kitchen,low,,,,,,
3376,,,"Water tank is empty in K 31 /11 .... 
Socio hood app is not working.... 
So behalf of K 31 /11... I am complaining for a request of a tank for them pls it's urgent....",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3377,,,JJSN hostel building first floor pin type bulb to be replaced in the washroom ,,,,Electrical,Light-not working,low,,,,,,
3378,,,JJSN school building ground floor first year class room,,,,Woodwork,Repairs to Wooden window shutters,low,,,,,,
3379,,,JJSN ground floor room no 3,,,,Woodwork,Bedroom-3 door shutter repair,low,,,,,,
3380,,,JJSN school building ground floor old kitchen.,,,,Woodwork,Kitchen door shutter repair,low,,,,,,
3381,,,2nd bedroom latch repair,,,,Woodwork,Latches of  doors - Repair,high,,,,,,
3382,,,JJSN hostel building ground floor ,,,,Woodwork,Bathroom door frame repair,low,,,,,,
3383,,,JJSN hostel building 2nd floor bathroom door,,,,Woodwork,Bathroom door shutter repair,low,,,,,,
3384,,,JJSN hostel building 2nd floor,,,,Woodwork,Toilet-1 door shutter repair,low,,,,,,
3385,,,Outhouse and garage lights and fans not working.. Flickering,,,,Electrical,Outhouse/garrage light-Not working,high,,,,,,
3386,,,Door damange ,,,,Woodwork,Kitchen door frame repair,high,,,,,,
3387,,,Aangan tuta hai  Gaya,,,,Civil,Misc. requests,high,,,,,,
3388,,,Kitchen window frame repair,,,,Woodwork,Kitchen window frame repair,low,,,,,,
3389,,,Pathway damage,,,,Civil,Repairs to floor other than courtyard floor,low,,,,,,
3390,,,"Mosquito net of one window is damaged .
Needs change",,,,Civil,Bedroom-3 mosquito net fixing,low,,,,,,
3391,,,Compound wall repair ,,,,Civil,Reconstruction of masonry compound wall,high,,,,,,
3392,,,Gate piller damage,,,,Civil,Repairs to gate pillar,high,,,,,,
3393,,,Back Drain Damage,,,,Civil,Back Drain Damage,high,,,,,,
3394,,,Water leaking from Wash Basin Tap of Dinning Room,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3395,,,Water leakage from top floor ,,,,Civil,Bathroom ceiling plaster,low,,,,,,
3396,,,Bedroom door not closing ,,,,Civil,Misc. requests,high,,,,,,
3397,,,Water Outlet pipe of dinning room length to be increased,,,,Civil,Miscellaneous Work,high,,,,,,
3398,,,Bulb Holder in drawing room ,,,,Electrical,Holder-batten holder not working,low,,,,,,
3399,,,"Bush cutting is required in k3-102, quarter is vacant, insects, germs are entering in our houses.",,,,Housekeeping,Bush Cutting Required,high,,,,,,
3400,,,dustbin is full,,,,Housekeeping,"Bin full, requires lifting",low,,,,,,
3401,,,Water Blockage in Back Drainage ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3402,,,need to fix cover on water outlet pipe,,,,Civil,Repairs to chocked outlet pipe at Kitchen,high,,,,,,
3403,,,Safety  concern snakes available ,,,,Housekeeping,Bush Cutting Required,high,,,,,,
3404,,,No power in the quarter from 10.00 am,,,,Electrical,No power-Single house,high,,,,,,
3405,,,Plaster broken in kitchen sink,,,,Civil,Repairs to kitchen sink,high,,,,,,
3406,,,Repair required,,,,Civil,Repairs to courtyard floor - Full,high,,,,,,
3407,,,The door latch is entirely damaged and is not closing ,,,,Civil,Drawing Room door shutter repair,high,,,,,,
3408,,,a patch in roof & a big patch in wall need to get repair,,,,Civil,Bathroom wall plaster,low,,,,,,
3409,,,Lots of black Ants in the water tank,,,,Water and Plumbing Work,Cleaning of Over Head Tank,low,,,,,,
3410,,,"The front drain is jammed 
It's totally covered with leaves and dirt.",,,,Housekeeping,Front Drain Jam,high,,,,,,
3411,,,Facing problem due to Bathroom tap which gets loose and misuse of water is in the bathroom. ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
3412,,,No power in mrc room and not working ac in naps room,,,,Electrical,No power-Single house,high,,,,,,
3413,,,Back drain jam,,,,Housekeeping,Back Drain Jam,low,,,,,,
3414,,,Front drain jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
3415,,,Main water supply pipe leakage,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3416,,,back barandah roof leakage and water is percolating from roof,,,,Civil,Repairs to roof leakage,high,,,,,,
3417,,,Electric switch Brocken on bedroom,,,,Electrical,Switch-Switch broken,high,,,,,,
3418,,,"K-12/10, Outside catch pit damaged",,,,Civil,Catchpit Damage,high,,,,,,
3419,,,Gate repair,,,,Steel Works,MS Gate - Repair,high,,,,,,
3420,,,Front & side drain demeg,,,,Civil,Front Drain Damage,high,,,,,,
3421,,,White wash and painting only ( death case),,,,Civil,New Allotment,high,,,,,,
3422,,,Man door damage replamant,,,,Woodwork,Wooden Ventilators shutters  - Repair,high,,,,,,
3423,,,Power trip while Switching ON Balcony light Switch ,,,,Electrical,Switch-Not working,low,,,,,,
3424,,,"Due to less water supply,  water in tank consumed, need to fill tank through water tanker",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3425,,,Water shortage,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3426,,,Catpich damged ,,,,Civil,Catchpit Damage,high,,,,,,
3427,,,Bathroom door handle damaged ,,,,Woodwork,Bathroom door hinge repair,low,,,,,,
3428,,,Bathroom door not present,,,,Woodwork,Bathroom door frame repair,high,,,,,,
3429,,,water tank replace,,,,Water and Plumbing Work,PVC OH Tank (Replacement),high,,,,,,
3430,,,Park swing machine damage,,,,Civil,Miscellaneous Work,high,,,,,,
3431,,,Staircase light lamp fuse,,,,Electrical,Stair case light-Lamp fuse,low,,,,,,
3432,,,Dirty water is spilling out of the drain,,,,Housekeeping,Man Hole Jam,high,,,,,,
3433,,,Short circuit,,,,Electrical,Street light-Not working,high,,,,,,
3434,,,"The drain has choked, pls treat this urgently",,,,Civil,Repairs to choked outlet pipe at Bathroom,high,,,,,,
3435,,,Bathroom door hinge broken,,,,Civil,Bathroom hinge cleat repair,high,,,,,,
3436,,,Switch loose sparks and current in fridge and washing machine.,,,,Electrical,Switch-Loose connection,low,,,,,,
3437,,,The Mosquito net/jali broken in the bed room is rusted and broken kindly replace,,,,Woodwork,RCC jali- Repair,high,,,,,,
3438,,,"Bathroom seepage,locks broken and not working properly,door is also not ok.balcony door lock is broken",,,,Civil,Miscellaneous Work,high,,,,,,
3439,,,"Water leaking from piller cock, need to replace, already repaired 2 times, still issue not solve.",,,,Water and Plumbing Work,Improper function of Wash Basin Piller Cock,high,,,,,,
3440,,,No water in overhead tank,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3441,,,Water leakage from Cistern outlate pipe,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),low,,,,,,
3442,,,No pawer room no 04,,,,Electrical,No power-Single house,low,,,,,,
3443,,,9204705073,,,,Electrical,Gyser-Not woking,high,,,,,,
3444,,,Kitchen washbasin  leakage  k27/6,,,,Water and Plumbing Work,Wash Basin to be checked,low,,,,,,
3445,,,"No water at home, request water tanker",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3446,,,Dustbin full inside,,,,Housekeeping,"Bin full, requires lifting",high,,,,,,
3447,,,MCB Tripping while Switching ON Balcony Light Switch ,,,,Electrical,Light-not working,low,,,,,,
3448,,,Kitchen Sink Jam ,,,,Housekeeping,Kitchen Sink Jam,high,,,,,,
3449,,,Blocked drain ,,,,Housekeeping,Front Drain Jam,low,,,,,,
3450,,,Tanker Support required urgently ,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
3451,,,"Water required to be refilled in C12 Kharkhai Road, Nildih.",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3452,,,new allotment,,,,Civil,New Allotment,high,,,,,,
3453,,,New Allotment,,,,Electrical,New Allotment,high,,,,,,
3454,,,No water in entire Block N- 121/1 to 8,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3455,,,Replacement door frame,,,,Civil,Bedroom-1 door frame repair,high,,,,,,
3456,,,Ac socket damage ,,,,Electrical,AC power point-AC Switch burnt,high,,,,,,
3457,,,Toilet door hinge broken ,,,,Civil,Bathroom door hinge repair,high,,,,,,
3458,,,No power,,,,Electrical,No power-Single house,high,,,,,,
3459,,,Pathway damage,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
3460,,,No water coming through tap. Urgent,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3461,,,Kitchen window damage,,,,Woodwork,Kitchen window hinge repair,high,,,,,,
3462,,,No power ,,,,Electrical,No power-Single house,low,,,,,,
3463,,,Water scarcity ,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
3464,,,"Toilet water pipe rusty ,needs to be replaced ",,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3465,,,There is no water in the overhead tank. Please resolve the issue immediately.,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
3466,,,Telco. Club,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
